geneset,go_id,gene
ATAC Complex,GO:0140672,KAT14
ATAC Complex,GO:0140672,MBIP
ATP-binding Cassette (ABC) Transporter Complex,GO:0043190,ABCG8
ATP-binding Cassette (ABC) Transporter Complex,GO:0043190,ABCD4
ATP-binding Cassette (ABC) Transporter Complex,GO:0043190,ABCB8
ATP-binding Cassette (ABC) Transporter Complex,GO:0043190,ABCB6
ATP-binding Cassette (ABC) Transporter Complex,GO:0043190,ABCG5
ATPase Dependent Transmembrane Transport Complex,GO:0098533,ABCG8
ATPase Dependent Transmembrane Transport Complex,GO:0098533,ABCD4
ATPase Dependent Transmembrane Transport Complex,GO:0098533,ABCB8
ATPase Dependent Transmembrane Transport Complex,GO:0098533,ABCB6
ATPase Dependent Transmembrane Transport Complex,GO:0098533,ABCG5
ATPase Dependent Transmembrane Transport Complex,GO:0098533,SLC9A1
B-WICH Complex,GO:0110016,MYO1E
B-WICH Complex,GO:0110016,MYBBP1A
B-WICH Complex,GO:0110016,DDX56
B-WICH Complex,GO:0110016,DEK
B-WICH Complex,GO:0110016,ERCC6
B-WICH Complex,GO:0110016,SF3B1
B-WICH Complex,GO:0110016,SMARCA5
BLOC-1 Complex,GO:0031083,SNAP25
BLOC-1 Complex,GO:0031083,SNAP47
BLOC-1 Complex,GO:0031083,SNAPIN
BLOC-1 Complex,GO:0031083,DTNBP1
BLOC-1 Complex,GO:0031083,STX12
BLOC-1 Complex,GO:0031083,BLOC1S5
BLOC-1 Complex,GO:0031083,BLOC1S6
BLOC-1 Complex,GO:0031083,BLOC1S1
BLOC-1 Complex,GO:0031083,BLOC1S2
BLOC-1 Complex,GO:0031083,BLOC1S3
BLOC-1 Complex,GO:0031083,BLOC1S4
BLOC-1 Complex,GO:0031083,KXD1
BLOC-1 Complex,GO:0031083,PI4K2A
BLOC-1 Complex,GO:0031083,WASHC4
CD40 Receptor Complex,GO:0035631,IKBKB
CD40 Receptor Complex,GO:0035631,CD40
CD40 Receptor Complex,GO:0035631,DIABLO
CD40 Receptor Complex,GO:0035631,TRAF5
CD40 Receptor Complex,GO:0035631,CHUK
CD40 Receptor Complex,GO:0035631,TRAF6
CD40 Receptor Complex,GO:0035631,HTRA2
CD40 Receptor Complex,GO:0035631,TRAF3
CD40 Receptor Complex,GO:0035631,TANK
CD40 Receptor Complex,GO:0035631,RNF31
CD95 Death-Inducing Signaling Complex,GO:0031265,CASP8
CD95 Death-Inducing Signaling Complex,GO:0031265,FAF1
CD95 Death-Inducing Signaling Complex,GO:0031265,FASN
CD95 Death-Inducing Signaling Complex,GO:0031265,CFLAR
CD95 Death-Inducing Signaling Complex,GO:0031265,FADD
CMG Complex,GO:0071162,GINS2
CMG Complex,GO:0071162,GINS3
CMG Complex,GO:0071162,GINS1
CMG Complex,GO:0071162,GINS4
CMG Complex,GO:0071162,MCM4
CMG Complex,GO:0071162,MCM5
CMG Complex,GO:0071162,MCM6
CMG Complex,GO:0071162,MCM7
CMG Complex,GO:0071162,MCM3
COPI Vesicle Coat,GO:0030126,COPA
COPI Vesicle Coat,GO:0030126,COPB2
COPI Vesicle Coat,GO:0030126,COPB1
COPI Vesicle Coat,GO:0030126,COPG1
COPI Vesicle Coat,GO:0030126,TMED3
COPI Vesicle Coat,GO:0030126,COPG2
COPI Vesicle Coat,GO:0030126,SCYL1
COPI Vesicle Coat,GO:0030126,DIPK2A
COPI Vesicle Coat,GO:0030126,TMED7
COPI Vesicle Coat,GO:0030126,COPZ2
COPI Vesicle Coat,GO:0030126,COPE
COPI Vesicle Coat,GO:0030126,COPZ1
COPI-coated Vesicle,GO:0030137,TMED10
COPI-coated Vesicle,GO:0030137,KDELR2
COPI-coated Vesicle,GO:0030137,VMA12
COPI-coated Vesicle,GO:0030137,VMA22
COPI-coated Vesicle,GO:0030137,KDELR3
COPI-coated Vesicle,GO:0030137,TMED2
COPI-coated Vesicle Membrane,GO:0030663,COPA
COPI-coated Vesicle Membrane,GO:0030663,KDELR1
COPI-coated Vesicle Membrane,GO:0030663,KDELR2
COPI-coated Vesicle Membrane,GO:0030663,COPB2
COPI-coated Vesicle Membrane,GO:0030663,COPB1
COPI-coated Vesicle Membrane,GO:0030663,COPZ2
COPI-coated Vesicle Membrane,GO:0030663,COPZ1
COPI-coated Vesicle Membrane,GO:0030663,VMA12
COPI-coated Vesicle Membrane,GO:0030663,COPG1
COPI-coated Vesicle Membrane,GO:0030663,TMED3
COPI-coated Vesicle Membrane,GO:0030663,KDELR3
COPI-coated Vesicle Membrane,GO:0030663,COPG2
COPI-coated Vesicle Membrane,GO:0030663,SCYL1
COPI-coated Vesicle Membrane,GO:0030663,DIPK2A
COPI-coated Vesicle Membrane,GO:0030663,TMED7
COPI-coated Vesicle Membrane,GO:0030663,COPE
COPII Vesicle Coat,GO:0030127,SEC24A
COPII Vesicle Coat,GO:0030127,SEC23B
COPII Vesicle Coat,GO:0030127,SEC24C
COPII Vesicle Coat,GO:0030127,SAR1A
COPII Vesicle Coat,GO:0030127,SEC13
COPII Vesicle Coat,GO:0030127,SEC23A
COPII Vesicle Coat,GO:0030127,SEC24B
COPII Vesicle Coat,GO:0030127,SAR1B
COPII Vesicle Coat,GO:0030127,PDCD6
COPII Vesicle Coat,GO:0030127,KLHL12
COPII Vesicle Coat,GO:0030127,PEF1
COPII Vesicle Coat,GO:0030127,SEC31A
COPII Vesicle Coat,GO:0030127,SEC24D
COPII Vesicle Coat,GO:0030127,TMED7
COPII Vesicle Coat,GO:0030127,SEC31B
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC24A
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,CD74
COPII-coated ER to Golgi Transport Vesicle,GO:0030134,SEC24C
